                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95844,                 3.3168,                0.31849,                0.80125,                 1.1551,                0.84843,                0.78343,                0.87477,                0.63655,                0.80025,                0.69187,                0.73256,                0.41265,                0.95896,                  2.993,                0.31921,                0.76459,                 1.1309,              0.0033324,              0.0033324,              0.0033324
                      2,                   1.08,                 3.9975,                 0.3497,                0.94966,                 1.2287,                0.84685,                0.75215,                0.85032,                0.59638,                0.80432,                0.63696,                0.68537,                0.35415,                 1.0413,                 3.4415,                0.34263,                0.86798,                  1.187,              0.0065997,              0.0065997,              0.0065997
                      3,                 1.1851,                 4.6019,                0.38108,                 1.0864,                 1.2966,                0.81277,                 0.7203,                 0.8207,                0.55722,                0.74878,                0.60109,                0.63011,                0.29865,                 1.1163,                 3.8006,                0.36563,                0.98016,                 1.2557,              0.0098011,              0.0098011,              0.0098011
                      4,                 1.2243,                 4.7883,                0.39436,                 1.1414,                 1.3243,                0.82395,                0.74921,                0.84073,                0.58768,                0.77206,                 0.6292,                0.66562,                0.33395,                 1.0567,                 3.6031,                0.36381,                0.89239,                 1.2116,               0.009703,               0.009703,               0.009703
                      5,                 1.1836,                 4.5857,                 0.3874,                 1.0915,                 1.2987,                0.83882,                0.75677,                0.85488,                 0.6051,                0.78133,                0.64912,                0.68211,                0.35184,                 1.0187,                 3.4417,                 0.3555,                0.86177,                 1.1841,               0.009703,               0.009703,               0.009703
                      6,                  1.158,                 4.4502,                0.38173,                 1.0616,                 1.2837,                0.84024,                0.76338,                 0.8608,                0.61804,                0.79892,                0.66117,                0.70835,                0.37558,                0.99271,                   3.28,                0.34833,                0.82436,                 1.1644,               0.009604,               0.009604,               0.009604
