,Datetime,Action
0,16:02:2024 - 10:08:27,looking right
1,16:02:2024 - 10:08:27,looking right
2,16:02:2024 - 10:08:27,looking right
3,16:02:2024 - 10:08:27,looking right
4,16:02:2024 - 10:08:27,looking right
5,16:02:2024 - 10:08:27,looking left
6,16:02:2024 - 10:08:27,looking right
7,16:02:2024 - 10:08:27,looking left
8,16:02:2024 - 10:08:28,looking right
9,16:02:2024 - 10:08:28,looking right
10,16:02:2024 - 10:08:28,looking right
11,16:02:2024 - 10:08:28,looking right
12,16:02:2024 - 10:08:28,looking right
13,16:02:2024 - 10:08:28,looking right
14,16:02:2024 - 10:08:28,looking right
15,16:02:2024 - 10:08:28,looking down
16,16:02:2024 - 10:08:28,looking right
17,16:02:2024 - 10:08:29,looking straight
18,16:02:2024 - 10:08:29,looking right
19,16:02:2024 - 10:08:29,looking left
20,16:02:2024 - 10:08:29,looking left
21,16:02:2024 - 10:08:29,looking right
22,16:02:2024 - 10:08:29,looking right
23,16:02:2024 - 10:08:29,looking right
24,16:02:2024 - 10:08:29,looking left
25,16:02:2024 - 10:08:30,looking left
26,16:02:2024 - 10:08:30,looking right
27,16:02:2024 - 10:08:30,looking right
28,16:02:2024 - 10:08:30,looking left
29,16:02:2024 - 10:08:30,looking right
30,16:02:2024 - 10:08:30,looking left
31,16:02:2024 - 10:08:30,looking right
32,16:02:2024 - 10:08:30,looking left
33,16:02:2024 - 10:08:31,looking right
34,16:02:2024 - 10:08:31,looking left
35,16:02:2024 - 10:08:31,looking right
36,16:02:2024 - 10:08:31,looking right
37,16:02:2024 - 10:08:31,looking right
38,16:02:2024 - 10:08:31,looking right
39,16:02:2024 - 10:08:31,looking straight
40,16:02:2024 - 10:08:31,looking right
41,16:02:2024 - 10:08:31,looking right
42,16:02:2024 - 10:08:31,looking left
43,16:02:2024 - 10:08:32,looking left
44,16:02:2024 - 10:08:32,looking right
45,16:02:2024 - 10:08:32,looking left
46,16:02:2024 - 10:08:32,looking left
47,16:02:2024 - 10:08:32,looking left
48,16:02:2024 - 10:08:32,looking left
49,16:02:2024 - 10:08:32,looking right
50,16:02:2024 - 10:08:32,looking left
51,16:02:2024 - 10:08:33,looking left
52,16:02:2024 - 10:08:33,looking right
53,16:02:2024 - 10:08:33,looking right
54,16:02:2024 - 10:08:33,looking right
55,16:02:2024 - 10:08:33,looking right
56,16:02:2024 - 10:08:34,looking left
57,16:02:2024 - 10:08:34,looking left
58,16:02:2024 - 10:08:34,looking left
59,16:02:2024 - 10:08:34,looking right
60,16:02:2024 - 10:08:34,looking right
61,16:02:2024 - 10:08:35,looking straight
62,16:02:2024 - 10:08:35,looking right
63,16:02:2024 - 10:08:35,looking straight
64,16:02:2024 - 10:08:35,looking straight
65,16:02:2024 - 10:08:36,looking straight
66,16:02:2024 - 10:08:36,looking right
67,16:02:2024 - 10:08:36,looking left
68,16:02:2024 - 10:08:36,looking left
69,16:02:2024 - 10:08:36,looking right
70,16:02:2024 - 10:08:37,looking left
71,16:02:2024 - 10:08:37,looking left
72,16:02:2024 - 10:08:37,looking right
73,16:02:2024 - 10:08:37,looking left
74,16:02:2024 - 10:08:37,looking left
75,16:02:2024 - 10:08:37,looking left
76,16:02:2024 - 10:08:37,looking right
77,16:02:2024 - 10:08:37,looking left
78,16:02:2024 - 10:08:38,looking right
79,16:02:2024 - 10:08:38,looking left
80,16:02:2024 - 10:08:38,looking right
81,16:02:2024 - 10:08:38,looking left
82,16:02:2024 - 10:08:38,looking right
83,16:02:2024 - 10:08:38,looking left
84,16:02:2024 - 10:08:38,looking right
85,16:02:2024 - 10:08:38,looking left
86,16:02:2024 - 10:08:38,looking right
87,16:02:2024 - 10:08:38,looking left
88,16:02:2024 - 10:08:39,looking right
89,16:02:2024 - 10:08:39,looking left
90,16:02:2024 - 10:08:39,looking right
91,16:02:2024 - 10:08:39,looking left
92,16:02:2024 - 10:08:39,looking down
93,16:02:2024 - 10:08:39,looking right
94,16:02:2024 - 10:08:39,looking left
95,16:02:2024 - 10:08:39,looking down
96,16:02:2024 - 10:08:39,looking right
97,16:02:2024 - 10:08:39,looking left
98,16:02:2024 - 10:08:40,looking right
99,16:02:2024 - 10:08:40,looking left
100,16:02:2024 - 10:08:40,looking right
101,16:02:2024 - 10:08:40,looking right
102,16:02:2024 - 10:08:40,looking right
103,16:02:2024 - 10:08:40,looking right
104,16:02:2024 - 10:08:40,looking left
105,16:02:2024 - 10:08:40,looking right
106,16:02:2024 - 10:08:40,looking left
107,16:02:2024 - 10:08:41,looking right
108,16:02:2024 - 10:08:41,looking right
109,16:02:2024 - 10:08:41,looking left
110,16:02:2024 - 10:08:41,looking right
111,16:02:2024 - 10:08:41,looking left
112,16:02:2024 - 10:08:41,looking right
113,16:02:2024 - 10:08:41,looking right
114,16:02:2024 - 10:08:41,looking right
115,16:02:2024 - 10:08:42,looking right
116,16:02:2024 - 10:08:42,looking right
117,16:02:2024 - 10:08:42,looking right
118,16:02:2024 - 10:08:42,looking right
119,16:02:2024 - 10:08:42,looking right
120,16:02:2024 - 10:08:42,looking right
121,16:02:2024 - 10:08:42,looking right
122,16:02:2024 - 10:08:42,looking right
123,16:02:2024 - 10:08:43,looking right
124,16:02:2024 - 10:08:43,looking right
125,16:02:2024 - 10:08:43,looking right
126,16:02:2024 - 10:08:43,looking straight
127,16:02:2024 - 10:08:43,looking right
128,16:02:2024 - 10:08:43,looking down
129,16:02:2024 - 10:08:43,looking right
130,16:02:2024 - 10:08:44,looking right
131,16:02:2024 - 10:08:44,looking right
132,16:02:2024 - 10:08:44,looking right
133,16:02:2024 - 10:08:44,looking right
134,16:02:2024 - 10:08:44,looking right
135,16:02:2024 - 10:08:44,looking right
